id,year,round,roundname,date,hteam,hteamid,ateam,ateamid,hscore,ascore,hgoals,hbehinds,agoals,abehinds,winner,winnerteamid,venue,complete,is_final,is_grand_final,updated
1,2017,1,Round 1,2017-03-23 19:20:00,Carlton,3.0,Richmond,14.0,89,132,14.0,5.0,20.0,12.0,Richmond,14.0,M.C.G.,100,0,0,2017-04-15 15:59:16
2,2017,1,Round 1,2017-03-24 19:50:00,Collingwood,4.0,Western Bulldogs,18.0,86,100,12.0,14.0,15.0,10.0,Western Bulldogs,18.0,M.C.G.,100,0,0,2017-04-15 15:59:16
3,2017,1,Round 1,2017-03-25 16:35:00,Sydney,16.0,Port Adelaide,13.0,82,110,12.0,10.0,17.0,8.0,Port Adelaide,13.0,S.C.G.,100,0,0,2017-04-15 15:59:16
4,2017,1,Round 1,2017-03-25 16:35:00,St Kilda,15.0,Melbourne,11.0,90,120,13.0,12.0,18.0,12.0,Melbourne,11.0,Docklands,100,0,0,2017-04-15 15:59:16
5,2017,1,Round 1,2017-03-25 20:05:00,Gold Coast,8.0,Brisbane Lions,2.0,96,98,14.0,12.0,15.0,8.0,Brisbane Lions,2.0,Carrara,100,0,0,2017-04-15 15:59:16
6,2017,1,Round 1,2017-03-25 19:25:00,Essendon,5.0,Hawthorn,10.0,116,91,17.0,14.0,12.0,19.0,Essendon,5.0,M.C.G.,100,0,0,2017-04-15 15:59:16
7,2017,1,Round 1,2017-03-26 13:10:00,North Melbourne,12.0,West Coast,17.0,93,136,13.0,15.0,21.0,10.0,West Coast,17.0,Docklands,100,0,0,2017-04-15 15:59:16
8,2017,1,Round 1,2017-03-26 15:20:00,Adelaide,1.0,Greater Western Sydney,9.0,147,91,22.0,15.0,14.0,7.0,Adelaide,1.0,Adelaide Oval,100,0,0,2017-04-15 15:59:16
9,2017,1,Round 1,2017-03-26 19:40:00,Fremantle,6.0,Geelong,7.0,73,115,10.0,13.0,18.0,7.0,Geelong,7.0,Subiaco,100,0,0,2017-04-15 15:59:16
10,2017,2,Round 2,2017-03-30 19:20:00,Richmond,14.0,Collingwood,4.0,99,80,14.0,15.0,11.0,14.0,Richmond,14.0,M.C.G.,100,0,0,2017-04-15 15:59:16
11,2017,2,Round 2,2017-03-31 19:50:00,Western Bulldogs,18.0,Sydney,16.0,110,87,16.0,14.0,13.0,9.0,Western Bulldogs,18.0,Docklands,100,0,0,2017-04-15 15:59:16
12,2017,2,Round 2,2017-04-01 13:45:00,Hawthorn,10.0,Adelaide,1.0,89,113,13.0,11.0,16.0,17.0,Adelaide,1.0,M.C.G.,100,0,0,2017-04-15 15:59:16
13,2017,2,Round 2,2017-04-01 16:35:00,Greater Western Sydney,9.0,Gold Coast,8.0,160,58,24.0,16.0,8.0,10.0,Greater Western Sydney,9.0,Sydney Showground,100,0,0,2017-04-15 15:59:16
14,2017,2,Round 2,2017-04-01 19:25:00,Brisbane Lions,2.0,Essendon,5.0,84,111,12.0,12.0,17.0,9.0,Essendon,5.0,Gabba,100,0,0,2017-04-15 15:59:16
15,2017,2,Round 2,2017-04-01 19:40:00,West Coast,17.0,St Kilda,15.0,116,97,18.0,8.0,13.0,19.0,West Coast,17.0,Subiaco,100,0,0,2017-04-15 15:59:16
16,2017,2,Round 2,2017-04-02 13:10:00,Geelong,7.0,North Melbourne,12.0,112,111,17.0,10.0,17.0,9.0,Geelong,7.0,Docklands,100,0,0,2017-04-15 15:59:16
17,2017,2,Round 2,2017-04-02 15:20:00,Melbourne,11.0,Carlton,3.0,86,64,13.0,8.0,9.0,10.0,Melbourne,11.0,M.C.G.,100,0,0,2017-04-15 15:59:16
