id,name,url
1,Squiggle,https://live.squiggle.com.au/
2,The Arc,https://thearcfooty.com/
3,Figuring Footy,http://figuringfooty.com/
4,Matter of Stats,http://www.matterofstats.com/
5,Punters,
6,FMI,https://footymaths.blogspot.com
7,PlusSixOne,https://www.plussixoneblog.com/
8,Aggregate,/introducing-s10/
9,Graft,http://graftratings.com/afl/
10,Stattraction,https://stattraction.wordpress.com/
11,Live Ladders,http://www.liveladders.com/
12,Swinburne,https://www.swinburne.edu.au/footy-tips/
13,HPN,http://www.hpnfooty.com/
14,Massey Ratings,https://www.masseyratings.com/aufl
15,AFLalytics,https://www.aflalytics.com/
16,AFL Gains,https://www.aflgains.com
17,AFL Lab,https://theafllab.com
18,Fat Stats,https://www.thefatstats.com
19,AFL_GO,https://aflgo.org/
20,The Flag,https://theflagsports.wordpress.com/
21,s10,/introducing-s10/
22,Glicko Ratings,https://aflglickoratings.blogspot.com/
23,ZaphBot,https://zaphbot.blogspot.com/
24,The Cruncher,https://thecruncherau.vercel.app/
25,Cheap Stats,https://twitter.com/mitch_mooney
26,Wheelo Ratings,https://www.wheeloratings.com/afl_index.html
27,The Footycast,https://www.thefootycast.com/
28,Elo Predicts!,https://elopredicts.blogspot.com/
29,Drop Kick Data,https://public.tableau.com/app/profile/joseph3026
30,Data by Josh,https://www.databyjosh.com/
31,The Wooden Finger,http://troywheatley.blogspot.com/
32,AFL Scorigami,https://twitter.com/AFL_scorigami
33,Hyperion,https://twitter.com/reynoldsrd
34,Don't Blame the Data,https://www.dontblamethedata.com/
35,footycharts,https://bsky.app/profile/footycharts.bsky.social
36,What Snoo Thinks,https://whatsnoothinks.blogspot.com
37,Winnable,https://www.winnableafl.com/
38,Informed Stats,https://www.informedstats.com/
39,HBin,https://www.hbin.io/
40,In The Game,https://inthegame.blog/
41,Holy Grail Ratings,https://holygrailratings.com/
